year,month,day,hour,min,sec,swvel
2018,5,25,19,0,0,-0.0254950857653383
2018,5,25,19,10,0,-0.0222163619195844
2018,5,25,19,20,0,-0.0191617050636144
2018,5,25,19,30,0,-0.016291472930118
2018,5,25,19,40,0,-0.0135499238975768
2018,5,25,19,50,0,-0.0108689024093081
2018,5,25,20,0,0,-0.00817204045114517
2018,5,25,20,10,0,-0.00537929571010699
2018,5,25,20,20,0,-0.00241150474694525
2018,5,25,20,30,0,0.00080525630167276
2018,5,25,20,40,0,0.00433558564098982
2018,5,25,20,50,0,0.00823103880693764
2018,5,25,21,0,0,0.0125270416523845
2018,5,25,21,10,0,0.0172405311011643
2018,5,25,21,20,0,0.0223683139681962
2018,5,25,21,30,0,0.027886350319594
2018,5,25,21,40,0,0.0337498066328623
2018,5,25,21,50,0,0.0398939652919744
2018,5,25,22,0,0,0.0462359836699196
2018,5,25,22,10,0,0.0526773307885302
2018,5,25,22,20,0,0.059106843074949
2018,5,25,22,30,0,0.0654042531775798
2018,5,25,22,40,0,0.0714439095375521
2018,5,25,22,50,0,0.0770986335059718
2018,5,25,23,0,0,0.0822436753090005
2018,5,25,23,10,0,0.0867605757557708
2018,5,25,23,20,0,0.0905406452218549
2018,5,25,23,30,0,0.0934880612678501
2018,5,25,23,40,0,0.0955225126832783
2018,5,25,23,50,0,0.0965812983785029
2018,5,26,0,0,0,0.0966208478909329
2018,5,26,0,10,0,0.0956175847051114
2018,5,26,0,20,0,0.0935681856388427
2018,5,26,0,30,0,0.0904892857758986
2018,5,26,0,40,0,0.0864165891569291
2018,5,26,0,50,0,0.0814035372450527
2018,5,26,1,0,0,0.0755194812245987
2018,5,26,1,10,0,0.0688475394631046
2018,5,26,1,20,0,0.0614823143612423
2018,5,26,1,30,0,0.0535274147663822
2018,5,26,1,40,0,0.0450929337085326
2018,5,26,1,50,0,0.0362928855573915
2018,5,26,2,0,0,0.0272428967361402
2018,5,26,2,10,0,0.0180581062380794
2018,5,26,2,20,0,0.00885120491872821
2018,5,26,2,30,0,-0.000269227549267198
2018,5,26,2,40,0,-0.00919998060320056
2018,5,26,2,50,0,-0.0178442064425204
2018,5,26,3,0,0,-0.0261120849729064
2018,5,26,3,10,0,-0.0339212138672351
2018,5,26,3,20,0,-0.0411968413935711
2018,5,26,3,30,0,-0.0478716983812154
