year,month,day,hour,min,sec,swvel
2018,5,26,19,10,0,0.0547200041054732
2018,5,26,19,20,0,0.0620904043026927
2018,5,26,19,30,0,0.0685892626183413
2018,5,26,19,40,0,0.0741751684096879
2018,5,26,19,50,0,0.0788288418984001
2018,5,26,20,0,0,0.0825527863320229
2018,5,26,20,10,0,0.0853703002339662
2018,5,26,20,20,0,0.0873239304120721
2018,5,26,20,30,0,0.0884733333526617
2018,5,26,20,40,0,0.0888926866148038
2018,5,26,20,50,0,0.0886677780425638
2018,5,26,21,0,0,0.0878927527722199
2018,5,26,21,10,0,0.0866667290927232
2018,5,26,21,20,0,0.0850904316607397
2018,5,26,21,30,0,0.0832629171606571
2018,5,26,21,40,0,0.0812785213355088
2018,5,26,21,50,0,0.0792241422507109
2018,5,26,22,0,0,0.0771768606847566
2018,5,26,22,10,0,0.075202046238056
2018,5,26,22,20,0,0.0733519438503653
2018,5,26,22,30,0,0.0716648204815587
2018,5,26,22,40,0,0.0701646598353949
2018,5,26,22,50,0,0.0688615794841349
2018,5,26,23,0,0,0.0677525951301409
2018,5,26,23,10,0,0.0668229708715445
2018,5,26,23,20,0,0.0660479236975357
2018,5,26,23,30,0,0.0653945554085712
2018,5,26,23,40,0,0.0648238845680614
2018,5,26,23,50,0,0.0642929812911095
2018,5,27,0,0,0,0.0637571278605371
2018,5,27,0,10,0,0.0631717727833669
2018,5,27,0,20,0,0.0624943363543724
2018,5,27,0,30,0,0.0616857797142677
2018,5,27,0,40,0,0.0607117701930634
2018,5,27,0,50,0,0.0595435189161306
2018,5,27,1,0,0,0.0581583309388307
2018,5,27,1,10,0,0.0565397428240606
2018,5,27,1,20,0,0.0546772608079264
2018,5,27,1,30,0,0.0525659221515934
2018,5,27,1,40,0,0.0502056568599409
2018,5,27,1,50,0,0.0476004388516019
2018,5,27,2,0,0,0.044757336262683
2018,5,27,2,10,0,0.0416854967452411
2018,5,27,2,20,0,0.0383952181182921
2018,5,27,2,30,0,0.0348972905596879
2018,5,27,2,40,0,0.031202582470674
2018,5,27,2,50,0,0.0273217974775816
2018,5,27,3,0,0,0.0232653475067119
2018,5,27,3,10,0,0.0190436075598477
2018,5,27,3,20,0,0.0146674044144926
2018,5,27,3,30,0,0.0101488885959238
2018,5,27,3,40,0,0.00550268529407238
